نمبر شمار,کتاب کا نام,درجہ / شعبہ,مضمون,قسم,مصنف / شارح,PDF لنک
1339,فیضِ مشکوٰۃ اردو شرح مشکوٰۃ المصابیح (جلد پنجم),درجہ سابعہ,حدیث,اردو شرح,مولانا فیض الرحمن قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear01/FAIZ_E_MISHKAT_URDU_SHARH_MISHKAT_VOL_05.pdf
1340,فیضِ مشکوٰۃ اردو شرح مشکوٰۃ المصابیح (جلد ہشتم),درجہ سابعہ,حدیث,اردو شرح,مولانا فیض الرحمن قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear01/FAIZ_E_MISHKAT_URDU_SHARH_MISHKAT_VOL_08.pdf
1341,فیضِ مشکوٰۃ اردو شرح مشکوٰۃ المصابیح (جلد یازدہم),درجہ سابعہ,حدیث,اردو شرح,مولانا فیض الرحمن قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear01/FAIZ_E_MISHKAT_URDU_SHARH_MISHKAT_VOL_11.pdf
1342,نزہۃ النظر فی توضیح نخبۃ الفکر (عربی),درجہ سابعہ,حدیث,اصل کتاب و شرح,حافظ ابن حجر العسقلانیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear01/NUDHRATUN_NAZAR_SHARH_NUKHBATUL_FIKAR.pdf
1343,تحفۃ القمر اردو شرح نزہۃ النظر,درجہ سابعہ,حدیث,اصول حدیث,مولانا قمر الدین قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear01/TUHFAT_UL_QAMAR_URDU_SHARH_NUZHATUN_NAZAR.pdf
1344,تسہیل النظر فی شرح نخبۃ الفکر,درجہ سابعہ,حدیث,اصول حدیث,مولانا عبد الرحیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear01/TASHEEL_UN_NAZAR.pdf
1345,شرح اردو نخبۃ الفکر فی مصطلح اہل الاثر,درجہ سابعہ,حدیث,اصول حدیث,مولانا محمد ظہورؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear/SHARH_URDU_NUHBA_TUL_FIKAR.pdf
1346,وسیلۃ الظفر اردو شرح نخبۃ الفکر,درجہ سابعہ,حدیث,اصول حدیث,مولانا مفتی ظفر احمد عثمانیؒ,https://archive.org/download/BestUrduBooks717/WASILAT-UZ-ZAFAR-URDU-SHARH-NUKHBAT-UL-FIKR.pdf
1347,قطرۃ العطر اردو شرح نخبۃ الفکر,درجہ سابعہ,حدیث,اصول حدیث,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear/QatratUlEtarUrduSharhNuhbatUlFikar.pdf
1348,بہجۃ الدرر اردو شرح نخبۃ الفکر,درجہ سابعہ,حدیث,اصول حدیث,مولانا مفتی اشرف علی قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear/BahjatUdDurarUrduSharhNuhbatUlFikar.pdf
1349,تحفۃ الدرر اردو شرح نخبۃ الفکر,درجہ سابعہ,حدیث,اصول حدیث,مولانا عاشق الٰہی بلند شہریؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear/TohfatUdDurarUrduSharhNuhbatUlFikar.pdf
1350,عمدۃ النظر اردو شرح نخبۃ الفکر,درجہ سابعہ,حدیث,اصول حدیث,مولانا عبد الحلیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear/UmdatUnNazarUrduSharhNuhbatUlFikar.pdf
1351,صلوۃ القربۃ اردو شرح نخبۃ الفکر,درجہ سابعہ,حدیث,اصول حدیث,مولانا مشتاق احمد چرتھاولیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear/SalatUlQurbahUrduSharhNuhbatUlFikar.pdf
1352,آسان اصطلاحاتِ حدیث,درجہ سابعہ,حدیث,اصول حدیث,مولانا محمد عثمان قاسمیؒ,https://archive.org/download/www.besturdubooks.net/ASAN-ISTELAHAAT-E-HADEES.pdf
1353,مبادیاتِ حدیث,درجہ سابعہ,حدیث,اصول حدیث,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/Besturdubooks317/MABADIYAT-HADITH.pdf
1354,نخبۃ الفکر کی آسان درسی شرح,درجہ سابعہ,حدیث,اصول حدیث,مولانا انوار الحق قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear01/SHARH_NUKHBA_TUL_FIKAR_KI_ASAN_SHARH.pdf
1355,نور القمر شرح نزہۃ النظر,درجہ سابعہ,حدیث,اصول حدیث,مولانا نور الہدیٰ قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear01/NOORUL_QAMAR_SHARH_NUZHATUN_NAZAR.pdf
1356,شرح نزہۃ النظر فی توضیح نخبۃ الفکر,درجہ سابعہ,حدیث,اصول حدیث,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear01/SHARH_NUZHA_TUN_NAZAR.pdf
1357,ایمان النظر عربی شرح شرح نخبۃ الفکر,درجہ سابعہ,حدیث,اصول حدیث,علامہ محمد بن اسماعیل الصنعانیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear01/IMAAN_UN_NAZAR_ARABIC_SHARH_SHARH_E_NUKHBAH.pdf
1358,بہجۃ النظر عربی شرح شرح نخبۃ الفکر,درجہ سابعہ,حدیث,اصول حدیث,علامہ علی بن سلطان القاریؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear01/BAHJAH_TUN_NAZAR_ARABIC_SHARH_SHARH_E_NUKHBAH.pdf
1359,ہدایہ پر اعتراضات کا علمی جائزہ,درجہ سابعہ,فقہ,تحقیقی جائزہ,مولانا مفتی عبد الواحدؒ,https://archive.org/download/jan_23/HIDAYA_PAR_ITRAZAAT_KA_JAIZA.pdf
1360,احسن الہدایہ اردو شرح الہدایہ (جلد ہشتم),درجہ سابعہ,فقہ,اردو شرح,مولانا عبد الحلیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear/AhsanUlHidayaVol8UrduSharhAlHidaya.pdf
1361,احسن الہدایہ اردو شرح الہدایہ (جلد نہم),درجہ سابعہ,فقہ,اردو شرح,مولانا عبد الحلیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear/AhsanUlHidayaVol9UrduSharhAlHidaya.pdf
1362,احسن الہدایہ اردو شرح الہدایہ (جلد دہم),درجہ سابعہ,فقہ,اردو شرح,مولانا عبد الحلیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear/AhsanUlHidayaVol10UrduSharhAlHidaya.pdf
1363,احسن الہدایہ اردو شرح الہدایہ (جلد یازدہم),درجہ سابعہ,فقہ,اردو شرح,مولانا عبد الحلیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear/AhsanUlHidayaVol11UrduSharhAlHidaya.pdf
1364,احسن الہدایہ اردو شرح الہدایہ (جلد دوازدہم),درجہ سابعہ,فقہ,اردو شرح,مولانا عبد الحلیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear/AhsanUlHidayaVol12UrduSharhAlHidaya.pdf
1365,احسن الہدایہ اردو شرح الہدایہ (جلد سیزدہم),درجہ سابعہ,فقہ,اردو شرح,مولانا عبد الحلیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear/AhsanUlHidayaVol13UrduSharhAlHidaya.pdf
1366,احسن الہدایہ اردو شرح الہدایہ (جلد چہاردہم),درجہ سابعہ,فقہ,اردو شرح,مولانا عبد الحلیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear/AhsanUlHidayaVol14UrduSharhAlHidaya.pdf
1367,احسن الہدایہ اردو شرح الہدایہ (جلد پانزدہم),درجہ سابعہ,فقہ,اردو شرح,مولانا عبد الحلیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear/AhsanUlHidayaVol15UrduSharhAlHidaya.pdf
1368,احسن الہدایہ اردو شرح الہدایہ (جلد شانزدہم),درجہ سابعہ,فقہ,اردو شرح,مولانا عبد الحلیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear/AhsanUlHidayaVol16UrduSharhAlHidaya.pdf
1369,اشرف الہدایہ اردو شرح الہدایہ (جلد ہشتم),درجہ سابعہ,فقہ,اردو شرح,مولانا مفتی اشرف علی قاسمیؒ,https://archive.org/download/darrs1/ASHRAF_UL_HIDAYAH_VOL_08.pdf
1370,اشرف الہدایہ اردو شرح الہدایہ (جلد نہم),درجہ سابعہ,فقہ,اردو شرح,مولانا مفتی اشرف علی قاسمیؒ,https://archive.org/download/darrs1/ASHRAF_UL_HIDAYAH_VOL_09.pdf
1371,اشرف الہدایہ اردو شرح الہدایہ (جلد دہم),درجہ سابعہ,فقہ,اردو شرح,مولانا مفتی اشرف علی قاسمیؒ,https://archive.org/download/darrs1/ASHRAF_UL_HIDAYAH_VOL_10.pdf
1372,اشرف الہدایہ اردو شرح الہدایہ (جلد یازدہم),درجہ سابعہ,فقہ,اردو شرح,مولانا مفتی اشرف علی قاسمیؒ,https://archive.org/download/darrs1/ASHRAF_UL_HIDAYAH_VOL_11.pdf
1373,اشرف الہدایہ اردو شرح الہدایہ (جلد دوازدہم),درجہ سابعہ,فقہ,اردو شرح,مولانا مفتی اشرف علی قاسمیؒ,https://archive.org/download/darrs1/ASHRAF_UL_HIDAYAH_VOL_12.pdf
1374,اشرف الہدایہ اردو شرح الہدایہ (جلد سیزدہم),درجہ سابعہ,فقہ,اردو شرح,مولانا مفتی اشرف علی قاسمیؒ,https://archive.org/download/darrs1/ASHRAF_UL_HIDAYAH_VOL_13.pdf
1375,اشرف الہدایہ اردو شرح الہدایہ (جلد چہاردہم),درجہ سابعہ,فقہ,اردو شرح,مولانا مفتی اشرف علی قاسمیؒ,https://archive.org/download/darrs1/ASHRAF_UL_HIDAYAH_VOL_14.pdf
1376,اشرف الہدایہ اردو شرح الہدایہ (جلد پانزدہم),درجہ سابعہ,فقہ,اردو شرح,مولانا مفتی اشرف علی قاسمیؒ,https://archive.org/download/darrs1/ASHRAF_UL_HIDAYAH_VOL_15.pdf
1377,اشرف الہدایہ اردو شرح الہدایہ (جلد شانزدہم),درجہ سابعہ,فقہ,اردو شرح,مولانا مفتی اشرف علی قاسمیؒ,https://archive.org/download/darrs1/ASHRAF_UL_HIDAYAH_VOL_16.pdf
1378,اثمار الہدایہ شرح الہدایہ (جلد ہشتم),درجہ سابعہ,فقہ,اردو شرح,مولانا سمیر الدین قاسمیؒ,https://archive.org/download/maulana-samiruddin-qasmi/ASMAAR_UL_HIDAYA_VOL_08.pdf
1379,اثمار الہدایہ شرح الہدایہ (جلد نہم),درجہ سابعہ,فقہ,اردو شرح,مولانا سمیر الدین قاسمیؒ,https://archive.org/download/maulana-samiruddin-qasmi/ASMAAR_UL_HIDAYA_VOL_09.pdf
1380,اثمار الہدایہ شرح الہدایہ (جلد دہم),درجہ سابعہ,فقہ,اردو شرح,مولانا سمیر الدین قاسمیؒ,https://archive.org/download/maulana-samiruddin-qasmi/ASMAAR_UL_HIDAYA_VOL_10.pdf
1381,اثمار الہدایہ شرح الہدایہ (جلد یازدہم),درجہ سابعہ,فقہ,اردو شرح,مولانا سمیر الدین قاسمیؒ,https://archive.org/download/maulana-samiruddin-qasmi/ASMAAR_UL_HIDAYA_VOL_11.pdf
1382,اثمار الہدایہ شرح الہدایہ (جلد دوازدہم),درجہ سابعہ,فقہ,اردو شرح,مولانا سمیر الدین قاسمیؒ,https://archive.org/download/maulana-samiruddin-qasmi/ASMAAR_UL_HIDAYA_VOL_12.pdf
1383,اثمار الہدایہ شرح الہدایہ (جلد سیزدہم),درجہ سابعہ,فقہ,اردو شرح,مولانا سمیر الدین قاسمیؒ,https://archive.org/download/maulana-samiruddin-qasmi/ASMAAR_UL_HIDAYA_VOL_13.pdf
1384,اثمار الہدایہ شرح الہدایہ (جلد چہاردہم),درجہ سابعہ,فقہ,اردو شرح,مولانا سمیر الدین قاسمیؒ,https://archive.org/download/maulana-samiruddin-qasmi/ASMAAR_UL_HIDAYA_VOL_14.pdf
1385,اثمار الہدایہ شرح الہدایہ (جلد پانزدہم),درجہ سابعہ,فقہ,اردو شرح,مولانا سمیر الدین قاسمیؒ,https://archive.org/download/maulana-samiruddin-qasmi/ASMAAR_UL_HIDAYA_VOL_15.pdf
1386,عین الہدایہ اردو شرح الہدایہ (جلد ششم),درجہ سابعہ,فقہ,اردو شرح,مولانا سید امیر علیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear/AenUlHidayaVol6UrduSharhAlHidaya.pdf
1387,عین الہدایہ اردو شرح الہدایہ (جلد ہفتم),درجہ سابعہ,فقہ,اردو شرح,مولانا سید امیر علیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear/AenUlHidayaVol7UrduSharhAlHidaya.pdf
1388,عین الہدایہ اردو شرح الہدایہ (جلد ہشتم),درجہ سابعہ,فقہ,اردو شرح,مولانا سید امیر علیؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear/AenUlHidayaVol8UrduSharhAlHidaya.pdf
1389,تنظیم الدرایہ فی تخریج احادیث الہدایہ,درجہ سابعہ,فقہ,اصول فقہ و تخریج,علامہ ابن حجر العسقلانیؒ / مولانا عبد الرحیمؒ,https://archive.org/download/TanzeemUdDirayah/Tanzeem_ud_Dirayah.pdf
1390,اصولِ ہدایت (جلد سوم و چہارم),درجہ سابعہ,فقہ,اصول فقہ,مولانا عبد الرحمنؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear01/USOOL_E_HIDAYAH_VOL_03-04.pdf
1391,تفہیم الہدایہ شرح الہدایہ رابع,درجہ سابعہ,فقہ,اردو شرح,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear01/TAFHIM_UL_HIDAYAH_SHARH_HIDAYA_RABE.pdf
1392,البنایۃ فی شرح الہدایہ (جلد اول - حقانیہ),درجہ سابعہ,فقہ,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/bhidaya/AL_BINAYA_FI_SHARH_AL_HIDAYA_HAQQANIA_VOL_01.pdf
1393,البنایۃ فی شرح الہدایہ (جلد دوم - حقانیہ),درجہ سابعہ,فقہ,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/bhidaya/AL_BINAYA_FI_SHARH_AL_HIDAYA_HAQQANIA_VOL_02.pdf
1394,البنایۃ فی شرح الہدایہ (جلد سوم - حقانیہ),درجہ سابعہ,فقہ,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/bhidaya/AL_BINAYA_FI_SHARH_AL_HIDAYA_HAQQANIA_VOL_03.pdf
1395,البنایۃ فی شرح الہدایہ (جلد چہارم - حقانیہ),درجہ سابعہ,فقہ,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/bhidaya/AL_BINAYA_FI_SHARH_AL_HIDAYA_HAQQANIA_VOL_04.pdf
1396,البنایۃ فی شرح الہدایہ (جلد پنجم - حقانیہ),درجہ سابعہ,فقہ,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/bhidaya/AL_BINAYA_FI_SHARH_AL_HIDAYA_HAQQANIA_VOL_05.pdf
1397,البنایۃ فی شرح الہدایہ (جلد ششم - حقانیہ),درجہ سابعہ,فقہ,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/bhidaya/AL_BINAYA_FI_SHARH_AL_HIDAYA_HAQQANIA_VOL_06.pdf
1398,البنایۃ فی شرح الہدایہ (جلد ہفتم - حقانیہ),درجہ سابعہ,فقہ,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/bhidaya/AL_BINAYA_FI_SHARH_AL_HIDAYA_HAQQANIA_VOL_07.pdf
1399,البنایۃ فی شرح الہدایہ (جلد ہشتم - حقانیہ),درجہ سابعہ,فقہ,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/bhidaya/AL_BINAYA_FI_SHARH_AL_HIDAYA_HAQQANIA_VOL_08.pdf
1400,البنایۃ فی شرح الہدایہ (جلد نہم - حقانیہ),درجہ سابعہ,فقہ,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/bhidaya/AL_BINAYA_FI_SHARH_AL_HIDAYA_HAQQANIA_VOL_09.pdf
1401,البنایۃ فی شرح الہدایہ (جلد دہم - حقانیہ),درجہ سابعہ,فقہ,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/bhidaya/AL_BINAYA_FI_SHARH_AL_HIDAYA_HAQQANIA_VOL_10.pdf
1402,البنایۃ فی شرح الہدایہ (جلد یازدہم - حقانیہ),درجہ سابعہ,فقہ,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/bhidaya/AL_BINAYA_FI_SHARH_AL_HIDAYA_HAQQANIA_VOL_11.pdf
1403,البنایۃ فی شرح الہدایہ (جلد دوازدہم - حقانیہ),درجہ سابعہ,فقہ,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/bhidaya/AL_BINAYA_FI_SHARH_AL_HIDAYA_HAQQANIA_VOL_12.pdf
1404,البنایۃ فی شرح الہدایہ (جلد سیزدہم - حقانیہ),درجہ سابعہ,فقہ,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/bhidaya/AL_BINAYA_FI_SHARH_AL_HIDAYA_HAQQANIA_VOL_13.pdf
1405,البنایۃ فی شرح الہدایہ (جلد چہاردہم - حقانیہ),درجہ سابعہ,فقہ,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/bhidaya/AL_BINAYA_FI_SHARH_AL_HIDAYA_HAQQANIA_VOL_14.pdf
1406,البنایۃ فی شرح الہدایہ (جلد پانزدہم - حقانیہ),درجہ سابعہ,فقہ,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/bhidaya/AL_BINAYA_FI_SHARH_AL_HIDAYA_HAQQANIA_VOL_15.pdf
1407,البنایۃ فی شرح الہدایہ (جلد شانزدہم - حقانیہ),درجہ سابعہ,فقہ,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/bhidaya/AL_BINAYA_FI_SHARH_AL_HIDAYA_HAQQANIA_VOL_16.pdf
1408,فتح القدیر للعاجز الفقیر شرح الہدایہ (جلد اول),درجہ سابعہ,فقہ,عربی شرح,امام کمال الدین محمد بن عبد الواحد ابن الہمام الحنفیؒ,https://archive.org/download/FathHulQadeerSharhAlHidayah/Fath_hul_Qadeer_Sharh_Al_Hidayah_01.pdf
1409,فتح القدیر للعاجز الفقیر شرح الہدایہ (جلد دوم),درجہ سابعہ,فقہ,عربی شرح,امام کمال الدین محمد بن عبد الواحد ابن الہمام الحنفیؒ,https://archive.org/download/FathHulQadeerSharhAlHidayah/Fath_hul_Qadeer_Sharh_Al_Hidayah_02.pdf
1410,فتح القدیر للعاجز الفقیر شرح الہدایہ (جلد سوم),درجہ سابعہ,فقہ,عربی شرح,امام کمال الدین محمد بن عبد الواحد ابن الہمام الحنفیؒ,https://archive.org/download/FathHulQadeerSharhAlHidayah/Fath_hul_Qadeer_Sharh_Al_Hidayah_03.pdf
1411,فتح القدیر للعاجز الفقیر شرح الہدایہ (جلد چہارم),درجہ سابعہ,فقہ,عربی شرح,امام کمال الدین محمد بن عبد الواحد ابن الہمام الحنفیؒ,https://archive.org/download/FathHulQadeerSharhAlHidayah/Fath_hul_Qadeer_Sharh_Al_Hidayah_04.pdf
1412,فتح القدیر للعاجز الفقیر شرح الہدایہ (جلد پنجم),درجہ سابعہ,فقہ,عربی شرح,امام کمال الدین محمد بن عبد الواحد ابن الہمام الحنفیؒ,https://archive.org/download/FathHulQadeerSharhAlHidayah/Fath_hul_Qadeer_Sharh_Al_Hidayah_05.pdf
1413,فتح القدیر للعاجز الفقیر شرح الہدایہ (جلد ششم),درجہ سابعہ,فقہ,عربی شرح,امام کمال الدین محمد بن عبد الواحد ابن الہمام الحنفیؒ,https://archive.org/download/FathHulQadeerSharhAlHidayah/Fath_hul_Qadeer_Sharh_Al_Hidayah_06.pdf
1414,فتح القدیر للعاجز الفقیر شرح الہدایہ (جلد ہفتم),درجہ سابعہ,فقہ,عربی شرح,امام کمال الدین محمد بن عبد الواحد ابن الہمام الحنفیؒ,https://archive.org/download/FathHulQadeerSharhAlHidayah/Fath_hul_Qadeer_Sharh_Al_Hidayah_07.pdf
1415,فتح القدیر للعاجز الفقیر شرح الہدایہ (جلد ہشتم),درجہ سابعہ,فقہ,عربی شرح,امام کمال الدین محمد بن عبد الواحد ابن الہمام الحنفیؒ,https://archive.org/download/FathHulQadeerSharhAlHidayah/Fath_hul_Qadeer_Sharh_Al_Hidayah_08.pdf
1416,فتح القدیر للعاجز الفقیر شرح الہدایہ (جلد نہم),درجہ سابعہ,فقہ,عربی شرح,امام کمال الدین محمد بن عبد الواحد ابن الہمام الحنفیؒ,https://archive.org/download/FathHulQadeerSharhAlHidayah/Fath_hul_Qadeer_Sharh_Al_Hidayah_09.pdf
1417,فتح القدیر للعاجز الفقیر شرح الہدایہ (جلد دہم),درجہ سابعہ,فقہ,عربی شرح,امام کمال الدین محمد بن عبد الواحد ابن الہمام الحنفیؒ,https://archive.org/download/FathHulQadeerSharhAlHidayah/Fath_hul_Qadeer_Sharh_Al_Hidayah_10.pdf
1418,تسہیل النظر فی شرح نخبۃ الفکر,درجہ سابعہ,اصول حدیث,اردو شرح,مولانا مفتی ابو لبابہ شاہ منصور مدظلہم,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear01/TASHEEL_UN_NAZAR.pdf
1419,حاشیہ علی المطول فی البلاغۃ,درجہ سابعہ,بلاغت,عربی حاشیہ,علامہ میر سید شریف جرجانیؒ,https://archive.org/download/HashiaAlalMutawwal/Hashia_Alal_Mutawwal.pdf
1420,حل شدہ پرچہ جات درجہ سابعہ (2021),درجہ سابعہ,امتحانات,حل شدہ پرچہ جات,وفاق المدارس العربیہ پاکستان,https://archive.org/download/DarsENizamiDarjaSabeaaMaoqoofAlai7thYear01/PARCHAJAAT_SABIA_2021.pdf
1421,درسِ بخاری شریف,درجہ ثامنہ,حدیث,اردو درسی افادات,حضرت مولانا مفتی نظام الدین شامزئیؒ,https://archive.org/download/DarsEBukhari/DarsEBukhariByMuftiNizamUdDinShamzai.pdf
1422,نبراس الساری فی ریاض البخاری (جلد اول),درجہ ثامنہ,حدیث,عربی شرح,علامہ عبد العزیز الفرہاریؒ / شیخ سراج احمدؒ,https://archive.org/download/DarsENizamiDoraeHadees8thYear01/NIBRAS_AL_SARI_FI_RIAZ_AL_BUKHARI_01.pdf
1423,نبراس الساری فی ریاض البخاری (جلد دوم),درجہ ثامنہ,حدیث,عربی شرح,علامہ عبد العزیز الفرہاریؒ / شیخ سراج احمدؒ,https://archive.org/download/DarsENizamiDoraeHadees8thYear01/NIBRAS_AL_SARI_FI_RIAZ_AL_BUKHARI_02.pdf
1424,نبراس الساری فی ریاض البخاری (جلد سوم),درجہ ثامنہ,حدیث,عربی شرح,علامہ عبد العزیز الفرہاریؒ / شیخ سراج احمدؒ,https://archive.org/download/DarsENizamiDoraeHadees8thYear01/NIBRAS_AL_SARI_FI_RIAZ_AL_BUKHARI_03.pdf
1425,عمدۃ القاری شرح صحیح البخاری (جلد اول),درجہ ثامنہ,حدیث,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/UmdatUlQari/Umdat_Ul_Qari_Vol_01.pdf
1426,عمدۃ القاری شرح صحیح البخاری (جلد دوم),درجہ ثامنہ,حدیث,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/UmdatUlQari/Umdat_Ul_Qari_Vol_02.pdf
1427,عمدۃ القاری شرح صحیح البخاری (جلد سوم),درجہ ثامنہ,حدیث,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/UmdatUlQari/Umdat_Ul_Qari_Vol_03.pdf
1428,عمدۃ القاری شرح صحیح البخاری (جلد چہارم),درجہ ثامنہ,حدیث,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/UmdatUlQari/Umdat_Ul_Qari_Vol_04.pdf
1429,عمدۃ القاری شرح صحیح البخاری (جلد پنجم),درجہ ثامنہ,حدیث,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/UmdatUlQari/Umdat_Ul_Qari_Vol_05.pdf
1430,عمدۃ القاری شرح صحیح البخاری (جلد ششم),درجہ ثامنہ,حدیث,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/UmdatUlQari/Umdat_Ul_Qari_Vol_06.pdf
1431,عمدۃ القاری شرح صحیح البخاری (جلد ہفتم),درجہ ثامنہ,حدیث,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/UmdatUlQari/Umdat_Ul_Qari_Vol_07.pdf
1432,عمدۃ القاری شرح صحیح البخاری (جلد ہشتم),درجہ ثامنہ,حدیث,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/UmdatUlQari/Umdat_Ul_Qari_Vol_08.pdf
1433,عمدۃ القاری شرح صحیح البخاری (جلد نہم),درجہ ثامنہ,حدیث,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/UmdatUlQari/Umdat_Ul_Qari_Vol_09.pdf
1434,عمدۃ القاری شرح صحیح البخاری (جلد دہم),درجہ ثامنہ,حدیث,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/UmdatUlQari/Umdat_Ul_Qari_Vol_10.pdf
1435,عمدۃ القاری شرح صحیح البخاری (جلد یازدہم (۱۱)),درجہ ثامنہ,حدیث,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/UmdatUlQari/Umdat_Ul_Qari_Vol_11.pdf
1436,عمدۃ القاری شرح صحیح البخاری (جلد دوازدہم (۱۲)),درجہ ثامنہ,حدیث,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/UmdatUlQari/Umdat_Ul_Qari_Vol_12.pdf
1437,عمدۃ القاری شرح صحیح البخاری (جلد سیزدہم (۱۳)),درجہ ثامنہ,حدیث,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/UmdatUlQari/Umdat_Ul_Qari_Vol_13.pdf
1438,عمدۃ القاری شرح صحیح البخاری (جلد چہاردہم (۱۴)),درجہ ثامنہ,حدیث,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/UmdatUlQari/Umdat_Ul_Qari_Vol_14.pdf
1439,عمدۃ القاری شرح صحیح البخاری (جلد پانزدہم (۱۵)),درجہ ثامنہ,حدیث,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/UmdatUlQari/Umdat_Ul_Qari_Vol_15.pdf
1440,عمدۃ القاری شرح صحیح البخاری (جلد شانزدہم (۱۶)),درجہ ثامنہ,حدیث,عربی شرح,علامہ بدر الدین العینیؒ,https://archive.org/download/UmdatUlQari/Umdat_Ul_Qari_Vol_16.pdf
